ID Oddziału;Nazwa Oddziału;Typ Oddziału;Szpital (Nazwa);Miasto;ID Szpitala;Liczba Lekarzy na Oddziale;Data Utworzenia
dept_1_1;Oddział Chirurgiczny Ogólny z Pododdziałem Intensywnej Opieki Pooperacyjnej;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ NR 1 W BEŁŻYCACH;Bełżyce;hosp_1;3;2026-05-10T06:43:35.542Z
dept_1_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ NR 1 W BEŁŻYCACH;Bełżyce;hosp_1;0;2026-05-10T06:43:35.542Z
dept_1_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ NR 1 W BEŁŻYCACH;Bełżyce;hosp_1;0;2026-05-10T06:43:35.542Z
dept_20_1;Oddział Chirurgiczno-Urazowy z Pododdziałem Ginekologicznym;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PARCZEWIE;Parczew;hosp_20;0;2026-04-21T06:43:35.542Z
dept_20_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PARCZEWIE;Parczew;hosp_20;0;2026-04-21T06:43:35.542Z
dept_20_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PARCZEWIE;Parczew;hosp_20;0;2026-04-21T06:43:35.542Z
dept_21_1;Oddział Chirurgii Ogólnej;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH;Puławy;hosp_21;0;2026-04-20T06:43:35.542Z
dept_21_2;Oddział Urologii i Onkologii Urologicznej;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH;Puławy;hosp_21;0;2026-04-20T06:43:35.542Z
dept_21_3;Oddział Chirurgii Dziecięcej;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH;Puławy;hosp_21;0;2026-04-20T06:43:35.542Z
dept_21_4;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH;Puławy;hosp_21;0;2026-04-20T06:43:35.542Z
dept_21_5;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH;Puławy;hosp_21;0;2026-04-20T06:43:35.542Z
dept_22_1;Oddział Chirurgiczny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RADZYNIU PODLASKIM;Radzyń Podlaski;hosp_22;0;2026-04-19T06:43:35.542Z
dept_22_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RADZYNIU PODLASKIM;Radzyń Podlaski;hosp_22;0;2026-04-19T06:43:35.542Z
dept_22_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RADZYNIU PODLASKIM;Radzyń Podlaski;hosp_22;0;2026-04-19T06:43:35.542Z
dept_23_1;Oddział Chirurgiczny;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W SZCZEBRZESZYNIE;Szczebrzeszyn;hosp_23;0;2026-04-18T06:43:35.542Z
dept_23_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W SZCZEBRZESZYNIE;Szczebrzeszyn;hosp_23;0;2026-04-18T06:43:35.542Z
dept_23_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W SZCZEBRZESZYNIE;Szczebrzeszyn;hosp_23;0;2026-04-18T06:43:35.542Z
dept_24_1;Oddział Chirurgii Ogólnej;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŚWIDNIKU;Świdnik;hosp_24;0;2026-04-17T06:43:35.542Z
dept_24_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŚWIDNIKU;Świdnik;hosp_24;0;2026-04-17T06:43:35.542Z
dept_24_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŚWIDNIKU;Świdnik;hosp_24;0;2026-04-17T06:43:35.542Z
dept_25_1;Oddział Chirurgii Ogólnej i Urazowej;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W TOMASZOWIE LUBELSKIM;Tomaszów Lubelski;hosp_25;0;2026-04-16T06:43:35.542Z
dept_25_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W TOMASZOWIE LUBELSKIM;Tomaszów Lubelski;hosp_25;0;2026-04-16T06:43:35.542Z
dept_25_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W TOMASZOWIE LUBELSKIM;Tomaszów Lubelski;hosp_25;0;2026-04-16T06:43:35.542Z
dept_26_1;Oddział Chirurgii Ogólnej z Profilem Urazowo-Ortopedycznym i Ginekologicznym;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ WE WŁODAWIE;Włodawa;hosp_26;0;2026-04-15T06:43:35.542Z
dept_26_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ WE WŁODAWIE;Włodawa;hosp_26;0;2026-04-15T06:43:35.542Z
dept_26_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ WE WŁODAWIE;Włodawa;hosp_26;0;2026-04-15T06:43:35.542Z
dept_27_1;Oddział Chirurgii Ogólnej i Onkologicznej;Zabiegowy;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Zamość;hosp_27;0;2026-04-14T06:43:35.542Z
dept_27_2;Oddział Kardiochirurgii;Zabiegowy;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Zamość;hosp_27;0;2026-04-14T06:43:35.542Z
dept_27_3;Oddział Neurochirurgii;Zabiegowy;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Zamość;hosp_27;0;2026-04-14T06:43:35.542Z
dept_27_4;Oddział Urologiczny;Zabiegowy;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Zamość;hosp_27;0;2026-04-14T06:43:35.542Z
dept_27_5;Oddział Chirurgii Naczyniowej;Zabiegowy;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Zamość;hosp_27;0;2026-04-14T06:43:35.542Z
dept_27_6;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Zamość;hosp_27;0;2026-04-14T06:43:35.542Z
dept_27_7;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Zamość;hosp_27;0;2026-04-14T06:43:35.542Z
dept_28_1;Oddział Chirurgii Ogólnej;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W AUGUSTOWIE;Augustów;hosp_28;1;2026-04-13T06:43:35.542Z
dept_28_2;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W AUGUSTOWIE;Augustów;hosp_28;1;2026-04-13T06:43:35.542Z
dept_28_3;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W AUGUSTOWIE;Augustów;hosp_28;2;2026-04-13T06:43:35.542Z
dept_29_1;Oddział Chirurgii Piersi i Rekonstrukcji;Zabiegowy;BIAŁOSTOCKIE CENTRUM ONKOLOGII IM. M. SKŁODOWSKIEJ-CURIE W BIAŁYMSTOKU;Białystok;hosp_29;0;2026-04-12T06:43:35.542Z
dept_29_2;Oddział Urologii;Zabiegowy;BIAŁOSTOCKIE CENTRUM ONKOLOGII IM. M. SKŁODOWSKIEJ-CURIE W BIAŁYMSTOKU;Białystok;hosp_29;1;2026-04-12T06:43:35.542Z
dept_29_3;Blok operacyjny;Zabiegowy;BIAŁOSTOCKIE CENTRUM ONKOLOGII IM. M. SKŁODOWSKIEJ-CURIE W BIAŁYMSTOKU;Białystok;hosp_29;2;2026-04-12T06:43:35.542Z
dept_29_4;Sterylizatornia;Zabiegowy;BIAŁOSTOCKIE CENTRUM ONKOLOGII IM. M. SKŁODOWSKIEJ-CURIE W BIAŁYMSTOKU;Białystok;hosp_29;1;2026-04-12T06:43:35.542Z
